laptop_ID,Company,Product,TypeName,Inches,Ram,OpSys,Weight,Price_euros,is_Full HD,is_IPS Panel,is_Retina Display,is_Touchscreen,is_Quad HD+,is_4K Ultra HD,ScreenSize,ssd_gb,hdd_gb,flash_gb,hybrid_gb,Cpu_Company,Cpu_Frequency_GHz,Cpu_Type,Gpu_Company,is_Intel_Gpu,Gpu_Type
46,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,7.258412150595307,0,1,1,0,0,0,4096000,256,0,0,0,Intel,2.0,Intel i5,Intel,1,Intel Graphics
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4.0,No OS,2.2,5.91350300563827,0,0,0,0,0,0,1049088,128,0,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
48,Asus,Rog Strix,Gaming,17.3,8.0,Windows 10,3.2,7.170119543449628,1,0,0,0,0,0,2073600,256,1024,0,0,AMD,3.0,AMD Ryzen,AMD,0,AMD Radeon
49,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.3,6.461468176353717,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,AMD,0,AMD Radeon
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4.0,Windows 10,2.8,6.1463292576688975,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,1.1,Intel Pentium,Nvidia,0,Nvidia GeForce
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4.0,Android,0.69,5.768320995793772,0,1,0,1,0,0,2304000,0,0,64,0,Intel,1.44,Intel Other,Intel,1,Intel Graphics
52,Acer,Aspire A515-51G,Notebook,15.6,8.0,Windows 10,2.2,6.7357800142423265,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
53,HP,255 G6,Notebook,15.6,4.0,Windows 10,1.86,5.99018873360393,1,0,0,0,0,0,2073600,256,0,0,0,AMD,2.5,AMD A-Series,AMD,0,AMD Radeon
54,HP,ProBook 430,Notebook,13.3,8.0,Windows 10,1.49,7.00669522683704,1,0,0,0,0,0,2073600,512,0,0,0,Intel,1.8,Intel i7,Intel,1,Intel Graphics
55,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.4,5.953243334287785,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,2.4,Intel i3,Intel,1,Intel Graphics
56,Dell,Inspiron 3576,Notebook,15.6,8.0,Windows 10,2.13,6.644830857656083,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,AMD,0,AMD Radeon
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4.0,Windows 10,1.91,6.0867747269123065,1,0,0,0,0,0,2073600,128,0,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
58,Asus,VivoBook Max,Notebook,15.6,4.0,Windows 10,2.0,6.375348447182542,0,0,0,0,0,0,1049088,256,0,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
59,MSI,GS73VR 7RG,Gaming,17.3,16.0,Windows 10,2.43,7.803843303538772,1,0,0,0,0,0,2073600,256,2048,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4.0,Linux,2.0,6.030685260261263,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
61,Dell,Inspiron 5770,Notebook,17.3,16.0,Windows 10,2.8,7.170119543449628,1,0,0,0,0,0,2073600,256,2048,0,0,Intel,1.8,Intel i7,AMD,0,AMD Radeon
62,Dell,Vostro 5471,Ultrabook,14.0,8.0,Windows 10,1.7,6.779921907472252,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8.0,No OS,1.7,6.396929655216146,1,1,0,0,0,0,2073600,256,0,0,0,Intel,2.7,Intel i3,Intel,1,Intel Graphics
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8.0,Windows 10,1.4,6.848005274576363,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
66,HP,250 G6,Notebook,15.6,8.0,Windows 10,1.86,6.53813982376767,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
67,Asus,ZenBook Pro,Ultrabook,15.6,16.0,Windows 10,1.8,7.592870287844818,1,0,0,0,0,0,2073600,512,0,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
68,HP,250 G6,Notebook,15.6,4.0,Windows 10,1.86,6.086069933148976,0,0,0,0,0,0,1049088,0,500,0,0,Intel,2.0,Intel i3,AMD,0,AMD Radeon
69,HP,Stream 14-AX040wm,Notebook,14.0,4.0,Windows 10,1.44,5.438079308923196,0,0,0,0,0,0,1049088,32,0,0,0,Intel,1.6,Intel Celeron,Intel,1,Intel Graphics
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4.0,Windows 10,1.9,6.309918278226516,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12.0,Linux,3.0,6.856461984594587,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
72,Microsoft,Surface Laptop,Ultrabook,13.5,4.0,Windows 10 S,1.252,6.993932975223189,0,0,0,1,0,0,3393024,128,0,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
73,Dell,Inspiron 5370,Ultrabook,13.3,8.0,Windows 10,1.4,6.862757913051401,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,AMD,0,AMD Radeon
74,Dell,Inspiron 5570,Notebook,15.6,8.0,Windows 10,2.2,6.769641976852503,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,AMD,0,AMD Radeon
75,MSI,GL72M 7RDX,Gaming,17.3,8.0,Windows 10,2.7,6.999422467507961,1,0,0,0,0,0,2073600,128,1024,0,0,Intel,2.5,Intel i5,Nvidia,0,Nvidia GeForce
76,Acer,Aspire E5-475,Notebook,14.0,8.0,Windows 10,2.1,5.966146739123692,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8.0,Windows 10,2.2,6.856461984594587,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8.0,No OS,2.2,6.253828811575473,1,0,0,0,0,0,2073600,0,2048,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
79,Dell,Inspiron 5570,Notebook,15.6,8.0,Windows 10,2.02,6.752270376141742,1,0,0,0,0,0,2073600,128,1024,0,0,Intel,1.8,Intel i7,Intel,1,Intel Graphics
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,4.0,Windows 10,2.2,6.274762021241939,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.7,Intel i3,Nvidia,0,Nvidia GeForce
81,HP,ProBook 470,Notebook,17.3,8.0,Windows 10,2.5,6.885509670034818,1,0,0,0,0,0,2073600,128,1024,0,0,Intel,1.6,Intel i5,Nvidia,0,Nvidia GeForce
82,Dell,Latitude 5590,Ultrabook,15.6,8.0,Windows 10,1.88,7.000480301964336,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
83,Apple,"MacBook 12""",Ultrabook,12.0,8.0,macOS,0.92,7.32052696227274,0,1,1,0,0,0,3317760,512,0,0,0,Intel,1.3,Intel i5,Intel,1,Intel Graphics
84,HP,ProBook 440,Notebook,14.0,8.0,Windows 10,1.63,6.7580945044277305,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4.0,Windows 10,2.2,5.991464547107982,1,0,0,0,0,0,2073600,128,0,0,0,AMD,2.5,AMD A-Series,AMD,0,AMD Graphics
86,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.1,5.981414211254481,0,0,0,0,0,0,1049088,0,1024,0,0,AMD,3.0,AMD A-Series,AMD,0,AMD Radeon
87,Dell,Inspiron 7577,Gaming,15.6,16.0,Windows 10,2.65,7.2078598714324755,1,1,0,0,0,0,2073600,128,1024,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,8.0,Windows 10,1.83,6.551080335043404,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
89,HP,250 G6,Notebook,15.6,8.0,Windows 10,1.96,6.396912988410589,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16.0,Windows 10,2.2,7.27931883541462,1,1,0,0,0,0,2073600,128,1024,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
91,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.21,7.408530566894626,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,Intel,1,Intel Graphics
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8.0,Windows 10,2.45,6.551080335043404,1,0,0,0,0,0,2073600,0,1024,0,0,AMD,3.0,AMD Other,AMD,0,AMD Radeon
93,Acer,Aspire 5,Notebook,15.6,8.0,Windows 10,2.2,6.536691597591305,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
94,HP,Probook 430,Notebook,13.3,16.0,Windows 10,1.49,7.088408778675395,1,0,0,0,0,0,2073600,512,0,0,0,Intel,1.8,Intel i7,Intel,1,Intel Graphics
95,Dell,Inspiron 7577,Gaming,15.6,8.0,Windows 10,2.65,7.086737934510577,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,Nvidia,0,Nvidia GeForce
96,Asus,Zenbook UX430UA,Ultrabook,14.0,8.0,Windows 10,1.25,6.956545443151569,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.7,Intel i7,Intel,1,Intel Graphics
97,Acer,Spin 5,2 in 1 Convertible,13.3,8.0,Windows 10,1.5,6.742880635791903,1,1,0,1,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
98,Dell,Inspiron 3567,Notebook,15.6,8.0,Linux,2.2,6.398428531339882,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.7,Intel i7,AMD,0,AMD Radeon
99,Dell,Inspiron 3567,Notebook,15.6,4.0,Linux,2.2,6.186208623900494,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.0,Intel i3,AMD,0,AMD Radeon
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6.0,Windows 10,2.0,6.359573868672378,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.4,Intel i3,Nvidia,0,Nvidia GeForce
102,HP,Omen 15-ce007nv,Gaming,15.6,12.0,Windows 10,2.62,7.1308988302963465,1,1,0,0,0,0,2073600,128,1024,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8.0,Windows 10,1.91,6.579251212010101,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.7,Intel i7,AMD,0,AMD Radeon
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4.0,Windows 10,2.1,5.857933154483459,1,0,0,0,0,0,2073600,0,500,0,0,AMD,1.5,AMD Other,AMD,0,AMD Radeon
105,Dell,Inspiron 3576,Notebook,15.6,8.0,Linux,2.2,6.473890696352274,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,1.6,Intel i5,AMD,0,AMD Radeon
106,HP,Envy 13-ad009n,Ultrabook,13.3,8.0,Windows 10,1.38,7.02108396428914,1,1,0,0,0,0,2073600,256,0,0,0,Intel,2.7,Intel i7,Nvidia,0,Nvidia GeForce
107,Microsoft,Surface Laptop,Ultrabook,13.5,8.0,Windows 10 S,1.252,7.201170883281678,0,0,0,1,0,0,3393024,256,0,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
108,HP,Pavilion 14-BK001nv,Notebook,14.0,6.0,Windows 10,1.58,6.492239835020471,1,1,0,0,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,Nvidia,0,Nvidia GeForce
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,4.0,Windows 10,1.85,6.030444846748866,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8.0,Windows 10,1.3,7.085064293952548,1,1,0,0,0,0,2073600,256,0,0,0,Intel,2.7,Intel i7,Nvidia,0,Nvidia GeForce
111,MSI,GP62M 7REX,Gaming,15.6,16.0,Windows 10,2.2,7.170119543449628,1,0,0,0,0,0,2073600,256,1024,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
112,Lenovo,Thinkpad T470,Notebook,14.0,8.0,Windows 10,1.58,7.300472814267799,1,1,0,0,0,0,2073600,256,0,0,0,Intel,2.7,Intel i7,Intel,1,Intel Graphics
113,Asus,VivoBook S15,Ultrabook,15.6,16.0,Windows 10,1.5,7.141245122350491,1,0,0,0,0,0,2073600,256,1024,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
114,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.23,7.22983877815125,0,0,0,1,1,0,5760000,256,0,0,0,Intel,2.4,Intel i7,Intel,1,Intel Graphics
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8.0,Windows 10,1.37,7.24422751560335,1,1,0,1,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
116,HP,Probook 440,Notebook,14.0,4.0,Windows 10,1.63,6.583409222158765,0,1,0,0,0,0,1049088,0,500,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
117,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.21,7.396335293800808,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
118,HP,Spectre x360,2 in 1 Convertible,13.3,8.0,Windows 10,1.26,7.244220372720696,1,1,0,1,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
119,HP,Probook 440,Notebook,14.0,8.0,Windows 10,1.63,6.98933526597456,1,0,0,0,0,0,2073600,512,0,0,0,Intel,1.8,Intel i7,Intel,1,Intel Graphics
120,Dell,Inspiron 7570,Notebook,15.6,8.0,Windows 10,2.16,7.031149210745764,1,1,0,0,0,0,2073600,256,1024,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4.0,Windows 10,2.0,6.336825731146441,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.0,Intel i3,Nvidia,0,Nvidia GeForce
122,Asus,VivoBook S15,Notebook,15.6,8.0,Windows 10,1.7,7.020190708311925,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
123,Acer,Spin 3,Notebook,15.6,6.0,Windows 10,2.1,6.173786103901937,1,1,0,1,0,0,2073600,0,1024,0,0,Intel,2.4,Intel i3,Intel,1,Intel Graphics
124,MSI,GS63VR 7RG,Gaming,15.6,16.0,Windows 10,1.8,7.715346593932951,1,0,0,0,0,0,2073600,256,2048,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8.0,No OS,2.2,6.4457198193855785,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,Nvidia,0,Nvidia GeForce
126,HP,Probook 470,Notebook,17.3,16.0,Windows 10,2.5,7.148345743900068,1,0,0,0,0,0,2073600,512,0,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
127,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.1,6.113682179832232,0,0,0,0,0,0,1049088,256,0,0,0,AMD,3.0,AMD A-Series,AMD,0,AMD Radeon
128,HP,250 G6,Notebook,15.6,4.0,No OS,1.86,5.560681631015528,0,0,0,0,0,0,1049088,0,500,0,0,Intel,1.6,Intel Celeron,Intel,1,Intel Graphics
129,HP,Probook 440,Notebook,14.0,8.0,Windows 10,1.63,6.70073110954781,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,4.0,Windows 10 S,1.65,5.631175938885108,0,0,0,0,0,0,1049088,64,0,0,0,AMD,1.5,AMD Other,AMD,0,AMD Radeon
131,Dell,Inspiron 5770,Notebook,17.3,16.0,Windows 10,2.8,7.242082359256962,1,0,0,0,0,0,2073600,256,2048,0,0,Intel,1.8,Intel i7,AMD,0,AMD Radeon
132,HP,ProBook 470,Notebook,17.3,8.0,Windows 10,2.5,6.834108738813838,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
133,Dell,Inspiron 5567,Notebook,15.6,8.0,Windows 10,2.36,6.461452551231646,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,2.5,Intel i5,AMD,0,AMD Radeon
134,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.2,6.1092475827643655,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.0,Intel i3,AMD,0,AMD Radeon
